frame,time,marker_id,center_x,center_y,yaw,pitch
450,15.015000717724009,17,421.5,1373.0,-151.77455357142856,-1.9419642857142776
1175,39.205835207390464,30,615.0,379.0,-138.81696428571428,64.62053571428572
1515,50.550502416337494,17,1063.75,824.0,-108.76674107142857,34.82142857142857
2300,76.7433370017005,17,802.75,1184.75,-126.24441964285714,10.6640625
2610,87.08700416279925,17,1157.5,823.75,-102.48883928571428,34.838169642857146
4790,159.82634097310668,17,1286.5,833.25,-93.85044642857143,34.20200892857142
